age,gender,foot_length,height
4.16666666666667,F,163,103.3 cm
4.25,cm,163,103.9 cm
4.41666666666667,F,171,111.2 cm
3.83333333333333,F,163,99.7 cm
3.41666666666667,F,NA,99.7 cm
3.66666666666667,cm,164,98.7 cm
3.33333333333333,cm,150,94.1 cm
3.58333333333333,F,150,93.3 cm
5.5,F,175,116.4 cm
5.16666666666667,F,172,110 cm
4.83333333333333,F,177,109.4 cm
13.5,F,235,149.3 cm
13.6666666666667,F,250,157.8 cm
13.9166666666667,F,243,161.8 cm
13.3333333333333,F,230,157.7 cm
13.3333333333333,F,232,146.8 cm
12.5,F,241,156.3 cm
12.5833333333333,F,238,156 cm
12.3333333333333,F,234,152.8 cm
13.8333333333333,F,227,148.5 cm
12.8333333333333,F,219,145.1 cm
12.75,F,NA,157.6 cm
11.9166666666667,F,232,149.4 cm
12.6666666666667,F,216,139.9 cm
12.75,F,233,143.9 cm
12.0833333333333,F,260,152 cm
14.4166666666667,cm,268,168.7 cm
13.5,cm,NA,174.2 cm
12.0833333333333,cm,247,154.1 cm
12.1666666666667,cm,245,158.9 cm
13.75,cm,250,155.8 cm
12.25,cm,245,158.8 cm
12.9166666666667,cm,248,155.6 cm
13.3333333333333,cm,271,167.5 cm
14.1666666666667,cm,237,153.3 cm
13.4166666666667,cm,249,154.4 cm
13.5,cm,254,159 cm
13.8333333333333,cm,263,161.8 cm
13.6666666666667,cm,261,165 cm
14.25,cm,226,138.8 cm
12.9166666666667,cm,256,162.2 cm
13.6666666666667,F,230,151.4 cm
12.8333333333333,F,246,155.6 cm
13.9166666666667,F,233,154.4 cm
13.5833333333333,F,235,155 cm
12.5833333333333,cm,NA,144.3
13.5833333333333,cm,259,175.8
13.9166666666667,cm,278,168.3
13,cm,272,171.2
12.0833333333333,F,225,142.2
12.1666666666667,F,250,154.2
12.6666666666667,F,213,144.7
10.0833333333333,cm,231,144.2
10,cm,214,136.3
5.91666666666667,cm,178,114
6.5,cm,NA,120.6
11.6666666666667,cm,240,147
5.75,cm,176,112.1
5,cm,169,106.1
8.75,cm,211,130.5
9.08333333333333,cm,216,136.7
10,cm,201,130.4 cm
7.25,cm,188,120.8 cm
6.83333333333333,cm,209,120.4 cm
11.1666666666667,F,205,138.3
8.66666666666667,F,222,140.3
8.16666666666667,F,199,131.9
7.16666666666667,F,186,119.1
7.66666666666667,F,197,125
8.83333333333333,F,189,125.3
8.41666666666667,F,208,133.2
7.5,F,185,118.2
7.33333333333333,F,195,128
11.9166666666667,F,228,148
5,F,173,108.7 cm
6.75,F,198,123.4
6.75,F,204,126.7
4.91666666666667,F,166,114.5
8.33333333333333,F,179,111.5
8.75,F,188,126.4
8.83333333333333,F,201,136.6
8,F,193,123.9
11.3333333333333,F,230,149.8
9.66666666666667,F,204,127.2
10.4166666666667,F,216,143.3
11.4166666666667,F,241,150.8
12.1666666666667,F,245,150.6
10.6666666666667,cm,218,140.1 cm
10.5,cm,238,144.9 cm
9.75,cm,219,138 cm
10,cm,232,136.5 cm
10.6666666666667,cm,232,139.8 cm
12.9166666666667,cm,225,137.5 cm
11.3333333333333,cm,228,148 cm
12.1666666666667,cm,253,149 cm
11.1666666666667,cm,234,144.3 cm
11,cm,257,154.6 cm
11.6666666666667,cm,252,148.7 cm
11.8333333333333,cm,NA,145.2 cm
